_observation.scope_ids	action.delivered_exposure	action.selected	action.success	learning.edge.access-bundle.strength	learning.edge.bundle-context.strength	learning.edge.cue-root.strength	learning.edge.episode-bundle.strength	learning.edge.global-protector-one.strength	learning.edge.joint-one.strength	learning.edge.joint-three.strength	learning.edge.joint-two.strength	learning.edge.local-broadcast.strength	learning.edge.local-monitor.strength	learning.edge.partner-regulation.strength	learning.edge.partner-trust-one.strength	learning.edge.protector-one-two.strength	learning.edge.protector-three-one.strength	learning.edge.protector-two-three.strength	learning.edge.structure-episode.strength	learning.parameter.episode-state.value	learning.parameter.exposure-state.value	learning.parameter.partner-state.value	observation.delivered_log_likelihood	observation.is_imaginal	observation.log_likelihood.full-coupling	observation.log_likelihood.reduced-coupling	observation.marginal_equivalence_error	observation.scope_size	observation.source	policy.access_probability	policy.joint.expected_free_energy.protector-one=approach;protector-three=approach;protector-two=approach	policy.joint.posterior.protector-one=approach;protector-three=approach;protector-two=approach	policy.protector.protector-one.permission_probability	policy.protector.protector-three.permission_probability	policy.protector.protector-two.permission_probability	provenance.edge_id	provenance.model_candidate	provenance.observation_event_id	provenance.rng_namespace	provenance.update_function	run.arm	run.episode	run.event_executed	run.event_id	run.event_index	run.event_kind	run.genome_id	run.row_index	run.row_kind	run.seed	run.stop_reason	run.stopped	run.time	state.access.access-main.probability	state.bundle.bundle-main.activation_probability	state.bundle.bundle-main.expected_outcome	state.bundle.bundle-main.mandate_probability	state.bundle.bundle-main.root_probability	state.context.context-main.posterior.episode-state.mixed	state.context.context-main.posterior.episode-state.repair	state.context.context-main.posterior.episode-state.safe	state.context.context-main.posterior.episode-state.threat	state.context.context-main.posterior.exposure-state.high	state.context.context-main.posterior.exposure-state.low	state.context.context-main.posterior.partner-state.adverse	state.context.context-main.posterior.partner-state.ambiguous	state.context.context-main.posterior.partner-state.helpful	state.context.context-main.transition_entropy	state.cue.cue-main.meaning_probability	state.cue.cue-main.root_association	state.episode.episode-main.joint_probability	state.global_precision.global-main.context	state.global_precision.global-main.depth	state.global_precision.global-main.interoception	state.global_precision.global-main.part	state.global_precision.global-main.policy	state.global_precision.global-main.relationship	state.local_precision.local-one.calibration_error	state.local_precision.local-one.mean	state.partner.partner-main.regulation_probability	state.partner.partner-main.trust_probability	state.protector.protector-one.forecast_coprotection	state.protector.protector-one.forecast_outcome	state.protector.protector-one.forecast_partner_type	state.protector.protector-one.permission_probability	state.protector.protector-one.suppression_probability	state.protector.protector-three.forecast_coprotection	state.protector.protector-three.forecast_outcome	state.protector.protector-three.forecast_partner_type	state.protector.protector-three.permission_probability	state.protector.protector-three.suppression_probability	state.protector.protector-two.forecast_coprotection	state.protector.protector-two.forecast_outcome	state.protector.protector-two.forecast_partner_type	state.protector.protector-two.permission_probability	state.protector.protector-two.suppression_probability	state.structure.structure-main.complexity.full-coupling	state.structure.structure-main.complexity.reduced-coupling	state.structure.structure-main.first_stable_reduced_win	state.structure.structure-main.log_evidence.full-coupling	state.structure.structure-main.log_evidence.reduced-coupling	state.structure.structure-main.reversals_to_full	state.structure.structure-main.selected.full-coupling	state.structure.structure-main.selected.reduced-coupling	world.potential_hazard	world.realized_hazard	world.truth.episode-state	world.truth.exposure-state	world.truth.partner-state
																																								typed-intervention-enable	closed-loop	1	true	enable-contingency#0	0	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	0	event	71005			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-withdraw#0	1	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	1	event	71005			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-permit#0	2	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	2	event	71005			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-suppress#0	3	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	3	event	71005			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-wait#0	4	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	4	event	71005			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-observe#0	5	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	5	event	71005			0																																																								
	0.0	approach	false	1.0	1.0	0.5003139032468079	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.41310121759460117	0.5	0.38520679436869765								0.5	0.28718287029639455	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	6	tick	71005		false	0	0.5	0.5440736460160189	0.4587155963302753	0.5	0.666934750130499	0.25140095384224664	0.24875786261528113	0.2567222018276939	0.24311898171477841	0.5	0.5	0.35239854830138534	0.32395734218751815	0.3236441095110965	0.7354064495348922	0.5516009969752149	0.5003139032468079	0.7065436036770633	0.2645935504651078	0.6400276546368031	0.5	0.806323091261711	1.0	0.6292216314571972	0.03583422546423165	0.8227661996542341	0.6484936457135239	0.5623546181498494	0.5	0.5311773090749248	0.5623546181498494	0.0	1.0	0.5155886545374624	0.5	0.5623546181498494	0.0	1.0	0.5155886545374624	0.5	0.5623546181498494	0.0	1.0	0.3	0.28	-1.0	-12.730648432597475	-12.71928119523449	0.0	false	true	false	false	repair	low	adverse
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.443033912993805	false	-1.975983934971841	-1.9705656542398682	0.0	4	world								reduced-coupling	closed-episode-stream#0	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#0	6	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	7	event	71005			1																																																								
	0.0	approach	false	1.0	1.0	0.5003139032468079	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.41448344847618035	0.5	0.38520679436869765								0.4587155963302753	0.3850820847866395	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	8	tick	71005		false	1	0.4587155963302753	0.5309064160875003	0.42372881355932207	0.5	0.6312198165037546	0.17296468399916085	0.546063162214001	0.1465412503849441	0.1344309034018941	0.5	0.5	0.35257896243189096	0.3230654507019444	0.32435558686616467	0.8869501164101832	0.5516009969752149	0.5003139032468079	0.546063162214001	0.11304988358981682	0.611147526167699	0.5	0.8096117129402156	1.0	0.6330760343084626	0.15209902206940462	0.7847414441368831	0.6484936457135239	0.5623546181498494	0.45871559633027537	0.5105351072400623	0.5623546181498494	0.0	1.0	0.48462535178516886	0.45871559633027537	0.5623546181498494	0.0	1.0	0.48462535178516886	0.45871559633027537	0.5623546181498494	0.0	1.0	0.3	0.28	1.0	-14.706632367569316	-14.689846849474359	0.0	false	true	false	false	mixed	low	adverse
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.4347259126629346	false	-0.766770133177635	-0.7674488343951239	0.0	4	world								full-coupling	closed-episode-stream#1	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#1	7	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	9	event	71005			2																																																								
