seed,kind,root_probability,imaginal_probability,sign_matches,timing,doover_success,suggestion_success,reversal
57007,analytic,0.58,0.5559999999999999,true,,,,
57007,analytic,0.59,0.563,true,,,,
57007,analytic,0.6,0.57,true,,,,
57007,analytic,0.61,0.577,true,,,,
57007,analytic,0.62,0.584,true,,,,
57007,analytic,0.63,0.591,true,,,,
57007,analytic,0.64,0.598,true,,,,
57007,analytic,0.65,0.605,true,,,,
57007,analytic,0.66,0.612,true,,,,
57007,analytic,0.67,0.619,true,,,,
57007,analytic,0.68,0.626,true,,,,
57007,analytic,0.69,0.6329999999999999,true,,,,
57007,analytic,0.7,0.6399999999999999,true,,,,
57007,analytic,0.71,0.6469999999999999,true,,,,
57007,analytic,0.72,0.654,true,,,,
57007,analytic,0.73,0.661,true,,,,
57007,analytic,0.74,0.668,true,,,,
57007,analytic,0.75,0.6749999999999999,true,,,,
57007,analytic,0.76,0.6819999999999999,true,,,,
57007,analytic,0.77,0.689,true,,,,
57007,analytic,0.78,0.696,true,,,,
57007,analytic,0.79,0.703,true,,,,
57007,analytic,0.8,0.71,true,,,,
57007,analytic,0.81,0.717,true,,,,
57007,analytic,0.82,0.724,true,,,,
57007,analytic,0.83,0.731,true,,,,
57007,analytic,0.84,0.738,true,,,,
57007,analytic,0.85,0.745,true,,,,
57007,analytic,0.86,0.752,true,,,,
57007,analytic,0.87,0.759,true,,,,
57007,analytic,0.88,0.766,true,,,,
57007,analytic,0.89,0.773,true,,,,
57007,analytic,0.9,0.78,true,,,,
57007,analytic,0.91,0.787,true,,,,
57007,analytic,0.92,0.794,true,,,,
57007,analytic,0.93,0.801,true,,,,
57007,analytic,0.94,0.8079999999999999,true,,,,
57007,analytic,0.95,0.815,true,,,,
57007,analytic,0.96,0.822,true,,,,
57007,analytic,0.97,0.829,true,,,,
57007,analytic,0.98,0.836,true,,,,
57007,analytic,0.99,0.843,true,,,,
57007,analytic,1.0,0.85,true,,,,
57007,simulation,0.3,0.36,true,premature,0.4583333333333333,0.6666666666666666,true
57007,simulation,0.82,0.724,true,post_revision,0.75,0.625,false
57008,analytic,0.0,0.15,true,,,,
57008,analytic,0.01,0.157,true,,,,
57008,analytic,0.02,0.16399999999999998,true,,,,
57008,analytic,0.03,0.17099999999999999,true,,,,
57008,analytic,0.04,0.178,true,,,,
57008,analytic,0.05,0.185,true,,,,
57008,analytic,0.06,0.192,true,,,,
57008,analytic,0.07,0.199,true,,,,
57008,analytic,0.08,0.206,true,,,,
57008,analytic,0.09,0.213,true,,,,
57008,analytic,0.1,0.21999999999999997,true,,,,
57008,analytic,0.11,0.22699999999999998,true,,,,
57008,analytic,0.12,0.23399999999999999,true,,,,
57008,analytic,0.13,0.241,true,,,,
57008,analytic,0.14,0.248,true,,,,
57008,analytic,0.15,0.255,true,,,,
57008,analytic,0.16,0.262,true,,,,
57008,analytic,0.17,0.269,true,,,,
57008,analytic,0.18,0.276,true,,,,
57008,analytic,0.19,0.283,true,,,,
57008,analytic,0.2,0.29,true,,,,
57008,analytic,0.21,0.297,true,,,,
57008,analytic,0.22,0.304,true,,,,
57008,analytic,0.23,0.311,true,,,,
57008,analytic,0.24,0.31799999999999995,true,,,,
57008,analytic,0.25,0.32499999999999996,true,,,,
57008,analytic,0.26,0.33199999999999996,true,,,,
57008,analytic,0.27,0.33899999999999997,true,,,,
57008,analytic,0.28,0.346,true,,,,
57008,analytic,0.29,0.353,true,,,,
57008,analytic,0.3,0.36,true,,,,
57008,analytic,0.31,0.367,true,,,,
57008,analytic,0.32,0.374,true,,,,
57008,analytic,0.33,0.381,true,,,,
57008,analytic,0.34,0.388,true,,,,
57008,analytic,0.35,0.39499999999999996,true,,,,
57008,analytic,0.36,0.402,true,,,,
57008,analytic,0.37,0.40900000000000003,true,,,,
57008,analytic,0.38,0.4159999999999999,true,,,,
57008,analytic,0.39,0.42299999999999993,true,,,,
57008,analytic,0.4,0.42999999999999994,true,,,,
57008,analytic,0.41,0.43699999999999994,true,,,,
57008,analytic,0.42,0.44399999999999995,true,,,,
57008,analytic,0.43,0.45099999999999996,true,,,,
57008,analytic,0.44,0.45799999999999996,true,,,,
57008,analytic,0.45,0.46499999999999997,true,,,,
57008,analytic,0.46,0.472,true,,,,
57008,analytic,0.47,0.479,true,,,,
57008,analytic,0.48,0.486,true,,,,
57008,analytic,0.49,0.493,true,,,,
57008,analytic,0.5,0.5,true,,,,
57008,analytic,0.51,0.507,true,,,,
57008,analytic,0.52,0.514,true,,,,
57008,analytic,0.53,0.521,true,,,,
57008,analytic,0.54,0.528,true,,,,
57008,analytic,0.55,0.535,true,,,,
57008,analytic,0.56,0.542,true,,,,
57008,analytic,0.57,0.5489999999999999,true,,,,
57008,analytic,0.58,0.5559999999999999,true,,,,
57008,analytic,0.59,0.563,true,,,,
57008,analytic,0.6,0.57,true,,,,
57008,analytic,0.61,0.577,true,,,,
57008,analytic,0.62,0.584,true,,,,
57008,analytic,0.63,0.591,true,,,,
57008,analytic,0.64,0.598,true,,,,
57008,analytic,0.65,0.605,true,,,,
57008,analytic,0.66,0.612,true,,,,
57008,analytic,0.67,0.619,true,,,,
57008,analytic,0.68,0.626,true,,,,
57008,analytic,0.69,0.6329999999999999,true,,,,
57008,analytic,0.7,0.6399999999999999,true,,,,
57008,analytic,0.71,0.6469999999999999,true,,,,
57008,analytic,0.72,0.654,true,,,,
57008,analytic,0.73,0.661,true,,,,
57008,analytic,0.74,0.668,true,,,,
57008,analytic,0.75,0.6749999999999999,true,,,,
57008,analytic,0.76,0.6819999999999999,true,,,,
57008,analytic,0.77,0.689,true,,,,
57008,analytic,0.78,0.696,true,,,,
57008,analytic,0.79,0.703,true,,,,
57008,analytic,0.8,0.71,true,,,,
57008,analytic,0.81,0.717,true,,,,
57008,analytic,0.82,0.724,true,,,,
57008,analytic,0.83,0.731,true,,,,
57008,analytic,0.84,0.738,true,,,,
57008,analytic,0.85,0.745,true,,,,
57008,analytic,0.86,0.752,true,,,,
57008,analytic,0.87,0.759,true,,,,
57008,analytic,0.88,0.766,true,,,,
57008,analytic,0.89,0.773,true,,,,
57008,analytic,0.9,0.78,true,,,,
57008,analytic,0.91,0.787,true,,,,
57008,analytic,0.92,0.794,true,,,,
57008,analytic,0.93,0.801,true,,,,
57008,analytic,0.94,0.8079999999999999,true,,,,
57008,analytic,0.95,0.815,true,,,,
57008,analytic,0.96,0.822,true,,,,
57008,analytic,0.97,0.829,true,,,,
57008,analytic,0.98,0.836,true,,,,
57008,analytic,0.99,0.843,true,,,,
57008,analytic,1.0,0.85,true,,,,
57008,simulation,0.3,0.36,true,premature,0.25,0.5833333333333334,true
57008,simulation,0.82,0.724,true,post_revision,0.6666666666666666,0.6666666666666666,false
57009,analytic,0.0,0.15,true,,,,
57009,analytic,0.01,0.157,true,,,,
57009,analytic,0.02,0.16399999999999998,true,,,,
57009,analytic,0.03,0.17099999999999999,true,,,,
57009,analytic,0.04,0.178,true,,,,
57009,analytic,0.05,0.185,true,,,,
57009,analytic,0.06,0.192,true,,,,
57009,analytic,0.07,0.199,true,,,,
57009,analytic,0.08,0.206,true,,,,
57009,analytic,0.09,0.213,true,,,,
57009,analytic,0.1,0.21999999999999997,true,,,,
57009,analytic,0.11,0.22699999999999998,true,,,,
57009,analytic,0.12,0.23399999999999999,true,,,,
57009,analytic,0.13,0.241,true,,,,
57009,analytic,0.14,0.248,true,,,,
57009,analytic,0.15,0.255,true,,,,
57009,analytic,0.16,0.262,true,,,,
57009,analytic,0.17,0.269,true,,,,
57009,analytic,0.18,0.276,true,,,,
57009,analytic,0.19,0.283,true,,,,
57009,analytic,0.2,0.29,true,,,,
57009,analytic,0.21,0.297,true,,,,
57009,analytic,0.22,0.304,true,,,,
57009,analytic,0.23,0.311,true,,,,
57009,analytic,0.24,0.31799999999999995,true,,,,
57009,analytic,0.25,0.32499999999999996,true,,,,
57009,analytic,0.26,0.33199999999999996,true,,,,
57009,analytic,0.27,0.33899999999999997,true,,,,
57009,analytic,0.28,0.346,true,,,,
57009,analytic,0.29,0.353,true,,,,
57009,analytic,0.3,0.36,true,,,,
57009,analytic,0.31,0.367,true,,,,
57009,analytic,0.32,0.374,true,,,,
57009,analytic,0.33,0.381,true,,,,
57009,analytic,0.34,0.388,true,,,,
57009,analytic,0.35,0.39499999999999996,true,,,,
57009,analytic,0.36,0.402,true,,,,
57009,analytic,0.37,0.40900000000000003,true,,,,
57009,analytic,0.38,0.4159999999999999,true,,,,
57009,analytic,0.39,0.42299999999999993,true,,,,
57009,analytic,0.4,0.42999999999999994,true,,,,
57009,analytic,0.41,0.43699999999999994,true,,,,
57009,analytic,0.42,0.44399999999999995,true,,,,
57009,analytic,0.43,0.45099999999999996,true,,,,
57009,analytic,0.44,0.45799999999999996,true,,,,
57009,analytic,0.45,0.46499999999999997,true,,,,
57009,analytic,0.46,0.472,true,,,,
57009,analytic,0.47,0.479,true,,,,
57009,analytic,0.48,0.486,true,,,,
57009,analytic,0.49,0.493,true,,,,
57009,analytic,0.5,0.5,true,,,,
57009,analytic,0.51,0.507,true,,,,
57009,analytic,0.52,0.514,true,,,,
57009,analytic,0.53,0.521,true,,,,
57009,analytic,0.54,0.528,true,,,,
57009,analytic,0.55,0.535,true,,,,
57009,analytic,0.56,0.542,true,,,,
57009,analytic,0.57,0.5489999999999999,true,,,,
57009,analytic,0.58,0.5559999999999999,true,,,,
57009,analytic,0.59,0.563,true,,,,
57009,analytic,0.6,0.57,true,,,,
57009,analytic,0.61,0.577,true,,,,
57009,analytic,0.62,0.584,true,,,,
57009,analytic,0.63,0.591,true,,,,
57009,analytic,0.64,0.598,true,,,,
57009,analytic,0.65,0.605,true,,,,
57009,analytic,0.66,0.612,true,,,,
57009,analytic,0.67,0.619,true,,,,
57009,analytic,0.68,0.626,true,,,,
57009,analytic,0.69,0.6329999999999999,true,,,,
57009,analytic,0.7,0.6399999999999999,true,,,,
57009,analytic,0.71,0.6469999999999999,true,,,,
57009,analytic,0.72,0.654,true,,,,
57009,analytic,0.73,0.661,true,,,,
57009,analytic,0.74,0.668,true,,,,
57009,analytic,0.75,0.6749999999999999,true,,,,
57009,analytic,0.76,0.6819999999999999,true,,,,
57009,analytic,0.77,0.689,true,,,,
57009,analytic,0.78,0.696,true,,,,
57009,analytic,0.79,0.703,true,,,,
57009,analytic,0.8,0.71,true,,,,
57009,analytic,0.81,0.717,true,,,,
57009,analytic,0.82,0.724,true,,,,
57009,analytic,0.83,0.731,true,,,,
57009,analytic,0.84,0.738,true,,,,
57009,analytic,0.85,0.745,true,,,,
57009,analytic,0.86,0.752,true,,,,
57009,analytic,0.87,0.759,true,,,,
57009,analytic,0.88,0.766,true,,,,
57009,analytic,0.89,0.773,true,,,,
57009,analytic,0.9,0.78,true,,,,
57009,analytic,0.91,0.787,true,,,,
57009,analytic,0.92,0.794,true,,,,
57009,analytic,0.93,0.801,true,,,,
57009,analytic,0.94,0.8079999999999999,true,,,,
57009,analytic,0.95,0.815,true,,,,
57009,analytic,0.96,0.822,true,,,,
57009,analytic,0.97,0.829,true,,,,
57009,analytic,0.98,0.836,true,,,,
57009,analytic,0.99,0.843,true,,,,
57009,analytic,1.0,0.85,true,,,,
57009,simulation,0.3,0.36,true,premature,0.375,0.5833333333333334,true
57009,simulation,0.82,0.724,true,post_revision,0.7083333333333334,0.625,false
57010,analytic,0.0,0.15,true,,,,
57010,analytic,0.01,0.157,true,,,,
57010,analytic,0.02,0.16399999999999998,true,,,,
57010,analytic,0.03,0.17099999999999999,true,,,,
57010,analytic,0.04,0.178,true,,,,
57010,analytic,0.05,0.185,true,,,,
57010,analytic,0.06,0.192,true,,,,
57010,analytic,0.07,0.199,true,,,,
57010,analytic,0.08,0.206,true,,,,
57010,analytic,0.09,0.213,true,,,,
57010,analytic,0.1,0.21999999999999997,true,,,,
57010,analytic,0.11,0.22699999999999998,true,,,,
57010,analytic,0.12,0.23399999999999999,true,,,,
57010,analytic,0.13,0.241,true,,,,
57010,analytic,0.14,0.248,true,,,,
57010,analytic,0.15,0.255,true,,,,
57010,analytic,0.16,0.262,true,,,,
57010,analytic,0.17,0.269,true,,,,
57010,analytic,0.18,0.276,true,,,,
57010,analytic,0.19,0.283,true,,,,
57010,analytic,0.2,0.29,true,,,,
57010,analytic,0.21,0.297,true,,,,
57010,analytic,0.22,0.304,true,,,,
57010,analytic,0.23,0.311,true,,,,
57010,analytic,0.24,0.31799999999999995,true,,,,
57010,analytic,0.25,0.32499999999999996,true,,,,
57010,analytic,0.26,0.33199999999999996,true,,,,
57010,analytic,0.27,0.33899999999999997,true,,,,
57010,analytic,0.28,0.346,true,,,,
57010,analytic,0.29,0.353,true,,,,
57010,analytic,0.3,0.36,true,,,,
57010,analytic,0.31,0.367,true,,,,
57010,analytic,0.32,0.374,true,,,,
57010,analytic,0.33,0.381,true,,,,
57010,analytic,0.34,0.388,true,,,,
57010,analytic,0.35,0.39499999999999996,true,,,,
57010,analytic,0.36,0.402,true,,,,
57010,analytic,0.37,0.40900000000000003,true,,,,
57010,analytic,0.38,0.4159999999999999,true,,,,
57010,analytic,0.39,0.42299999999999993,true,,,,
57010,analytic,0.4,0.42999999999999994,true,,,,
57010,analytic,0.41,0.43699999999999994,true,,,,
57010,analytic,0.42,0.44399999999999995,true,,,,
57010,analytic,0.43,0.45099999999999996,true,,,,
57010,analytic,0.44,0.45799999999999996,true,,,,
57010,analytic,0.45,0.46499999999999997,true,,,,
57010,analytic,0.46,0.472,true,,,,
57010,analytic,0.47,0.479,true,,,,
57010,analytic,0.48,0.486,true,,,,
57010,analytic,0.49,0.493,true,,,,
57010,analytic,0.5,0.5,true,,,,
57010,analytic,0.51,0.507,true,,,,
57010,analytic,0.52,0.514,true,,,,
57010,analytic,0.53,0.521,true,,,,
57010,analytic,0.54,0.528,true,,,,
57010,analytic,0.55,0.535,true,,,,
57010,analytic,0.56,0.542,true,,,,
57010,analytic,0.57,0.5489999999999999,true,,,,
57010,analytic,0.58,0.5559999999999999,true,,,,
57010,analytic,0.59,0.563,true,,,,
57010,analytic,0.6,0.57,true,,,,
57010,analytic,0.61,0.577,true,,,,
57010,analytic,0.62,0.584,true,,,,
57010,analytic,0.63,0.591,true,,,,
57010,analytic,0.64,0.598,true,,,,
57010,analytic,0.65,0.605,true,,,,
57010,analytic,0.66,0.612,true,,,,
57010,analytic,0.67,0.619,true,,,,
57010,analytic,0.68,0.626,true,,,,
57010,analytic,0.69,0.6329999999999999,true,,,,
57010,analytic,0.7,0.6399999999999999,true,,,,
57010,analytic,0.71,0.6469999999999999,true,,,,
57010,analytic,0.72,0.654,true,,,,
57010,analytic,0.73,0.661,true,,,,
57010,analytic,0.74,0.668,true,,,,
57010,analytic,0.75,0.6749999999999999,true,,,,
57010,analytic,0.76,0.6819999999999999,true,,,,
57010,analytic,0.77,0.689,true,,,,
57010,analytic,0.78,0.696,true,,,,
57010,analytic,0.79,0.703,true,,,,
57010,analytic,0.8,0.71,true,,,,
57010,analytic,0.81,0.717,true,,,,
57010,analytic,0.82,0.724,true,,,,
57010,analytic,0.83,0.731,true,,,,
57010,analytic,0.84,0.738,true,,,,
57010,analytic,0.85,0.745,true,,,,
57010,analytic,0.86,0.752,true,,,,
57010,analytic,0.87,0.759,true,,,,
57010,analytic,0.88,0.766,true,,,,
57010,analytic,0.89,0.773,true,,,,
57010,analytic,0.9,0.78,true,,,,
57010,analytic,0.91,0.787,true,,,,
57010,analytic,0.92,0.794,true,,,,
57010,analytic,0.93,0.801,true,,,,
57010,analytic,0.94,0.8079999999999999,true,,,,
57010,analytic,0.95,0.815,true,,,,
57010,analytic,0.96,0.822,true,,,,
57010,analytic,0.97,0.829,true,,,,
57010,analytic,0.98,0.836,true,,,,
57010,analytic,0.99,0.843,true,,,,
57010,analytic,1.0,0.85,true,,,,
57010,simulation,0.3,0.36,true,premature,0.4166666666666667,0.6666666666666666,true
57010,simulation,0.82,0.724,true,post_revision,0.5,0.7083333333333334,false
57011,analytic,0.0,0.15,true,,,,
57011,analytic,0.01,0.157,true,,,,
57011,analytic,0.02,0.16399999999999998,true,,,,
57011,analytic,0.03,0.17099999999999999,true,,,,
57011,analytic,0.04,0.178,true,,,,
57011,analytic,0.05,0.185,true,,,,
57011,analytic,0.06,0.192,true,,,,
57011,analytic,0.07,0.199,true,,,,
57011,analytic,0.08,0.206,true,,,,
57011,analytic,0.09,0.213,true,,,,
57011,analytic,0.1,0.21999999999999997,true,,,,
57011,analytic,0.11,0.22699999999999998,true,,,,
57011,analytic,0.12,0.23399999999999999,true,,,,
57011,analytic,0.13,0.241,true,,,,
57011,analytic,0.14,0.248,true,,,,
57011,analytic,0.15,0.255,true,,,,
57011,analytic,0.16,0.262,true,,,,
57011,analytic,0.17,0.269,true,,,,
57011,analytic,0.18,0.276,true,,,,
57011,analytic,0.19,0.283,true,,,,
57011,analytic,0.2,0.29,true,,,,
57011,analytic,0.21,0.297,true,,,,
57011,analytic,0.22,0.304,true,,,,
57011,analytic,0.23,0.311,true,,,,
57011,analytic,0.24,0.31799999999999995,true,,,,
57011,analytic,0.25,0.32499999999999996,true,,,,
57011,analytic,0.26,0.33199999999999996,true,,,,
57011,analytic,0.27,0.33899999999999997,true,,,,
57011,analytic,0.28,0.346,true,,,,
57011,analytic,0.29,0.353,true,,,,
57011,analytic,0.3,0.36,true,,,,
57011,analytic,0.31,0.367,true,,,,
57011,analytic,0.32,0.374,true,,,,
57011,analytic,0.33,0.381,true,,,,
57011,analytic,0.34,0.388,true,,,,
57011,analytic,0.35,0.39499999999999996,true,,,,
57011,analytic,0.36,0.402,true,,,,
57011,analytic,0.37,0.40900000000000003,true,,,,
57011,analytic,0.38,0.4159999999999999,true,,,,
57011,analytic,0.39,0.42299999999999993,true,,,,
57011,analytic,0.4,0.42999999999999994,true,,,,
57011,analytic,0.41,0.43699999999999994,true,,,,
57011,analytic,0.42,0.44399999999999995,true,,,,
57011,analytic,0.43,0.45099999999999996,true,,,,
57011,analytic,0.44,0.45799999999999996,true,,,,
57011,analytic,0.45,0.46499999999999997,true,,,,
57011,analytic,0.46,0.472,true,,,,
57011,analytic,0.47,0.479,true,,,,
57011,analytic,0.48,0.486,true,,,,
57011,analytic,0.49,0.493,true,,,,
57011,analytic,0.5,0.5,true,,,,
57011,analytic,0.51,0.507,true,,,,
57011,analytic,0.52,0.514,true,,,,
57011,analytic,0.53,0.521,true,,,,
57011,analytic,0.54,0.528,true,,,,
57011,analytic,0.55,0.535,true,,,,
57011,analytic,0.56,0.542,true,,,,
57011,analytic,0.57,0.5489999999999999,true,,,,
57011,analytic,0.58,0.5559999999999999,true,,,,
57011,analytic,0.59,0.563,true,,,,
57011,analytic,0.6,0.57,true,,,,
57011,analytic,0.61,0.577,true,,,,
57011,analytic,0.62,0.584,true,,,,
57011,analytic,0.63,0.591,true,,,,
57011,analytic,0.64,0.598,true,,,,
57011,analytic,0.65,0.605,true,,,,
57011,analytic,0.66,0.612,true,,,,
57011,analytic,0.67,0.619,true,,,,
57011,analytic,0.68,0.626,true,,,,
57011,analytic,0.69,0.6329999999999999,true,,,,
57011,analytic,0.7,0.6399999999999999,true,,,,
57011,analytic,0.71,0.6469999999999999,true,,,,
57011,analytic,0.72,0.654,true,,,,
57011,analytic,0.73,0.661,true,,,,
57011,analytic,0.74,0.668,true,,,,
57011,analytic,0.75,0.6749999999999999,true,,,,
57011,analytic,0.76,0.6819999999999999,true,,,,
57011,analytic,0.77,0.689,true,,,,
57011,analytic,0.78,0.696,true,,,,
57011,analytic,0.79,0.703,true,,,,
57011,analytic,0.8,0.71,true,,,,
57011,analytic,0.81,0.717,true,,,,
57011,analytic,0.82,0.724,true,,,,
57011,analytic,0.83,0.731,true,,,,
57011,analytic,0.84,0.738,true,,,,
57011,analytic,0.85,0.745,true,,,,
57011,analytic,0.86,0.752,true,,,,
57011,analytic,0.87,0.759,true,,,,
57011,analytic,0.88,0.766,true,,,,
57011,analytic,0.89,0.773,true,,,,
57011,analytic,0.9,0.78,true,,,,
57011,analytic,0.91,0.787,true,,,,
57011,analytic,0.92,0.794,true,,,,
57011,analytic,0.93,0.801,true,,,,
57011,analytic,0.94,0.8079999999999999,true,,,,
57011,analytic,0.95,0.815,true,,,,
57011,analytic,0.96,0.822,true,,,,
57011,analytic,0.97,0.829,true,,,,
57011,analytic,0.98,0.836,true,,,,
57011,analytic,0.99,0.843,true,,,,
57011,analytic,1.0,0.85,true,,,,
57011,simulation,0.3,0.36,true,premature,0.3333333333333333,0.625,true
57011,simulation,0.82,0.724,true,post_revision,0.75,0.625,false
